31	100	37192
71	104	37193
37193	170	37194
37194	183	37195
37195	235	37196
37196	304	37197
37197	341	37198
37198	362	37199
37199	366	37200
37200	367	37201
37201	445	37202
37202	461	37203
37203	466	37204
37204	469	37205
37205	488	37206
37206	508	37207
37207	512	37208
37208	525	37209
37209	527	37210
37210	535	37211
37211	540	37212
37212	548	37213
565	629	37214
37213	632	37215
37215	634	37216
275	648	37217
37216	655	37218
37218	686	37219
537	694	37220
37219	696	37221
37221	708	37222
37222	738	37223
37223	746	37224
37192	747	37225
37224	769	37226
37226	775	37227
37227	37156	37228
37228	828	37229
37229	834	37230
37230	950	37231
37225	954	37232
37231	1009	37233
455	1015	37234
595	1022	37235
37233	37148	37236
37236	1025	37237
37237	1061	37238
37238	37145	37239
37239	1065	37240
37240	1084	37241
37241	1091	37242
37242	1099	37243
37243	1101	37244
37244	1110	37245
37245	1118	37246
37246	1139	37247
37247	1207	37248
37248	1213	37249
500	1216	37250
37249	1262	37251
37251	1300	37252
946	1325	37253
37252	1341	37254
37254	1376	37255
37255	1384	37256
37256	1408	37257
37220	1436	37258
37257	1438	37259
37259	1448	37260
1401	1450	37261
37260	37122	37262
37262	1509	37263
37263	1521	37264
37264	1530	37265
37265	1534	37266
37266	1535	37267
37267	1546	37268
484	1557	37269
37268	1572	37270
37270	1574	37271
37271	1583	37272
37272	1603	37273
37273	1611	37274
37274	1613	37275
37275	1616	37276
37276	1648	37277
557	1666	37278
37277	1722	37279
37279	1728	37280
533	1733	37281
37280	1734	37282
37282	1816	37283
37283	1833	37284
37284	1879	37285
37261	1880	37286
37285	1917	37287
1622	1934	37288
37287	1954	37289
37289	1960	37290
1294	1962	37291
1258	1998	37292
37290	2001	37293
37293	2018	37294
293	2039	37295
37294	2042	37296
123	2046	37297
37297	2054	37298
1891	37085	37299
37281	2102	37300
37296	2112	37301
1468	37082	37302
37301	2121	37303
1843	2131	37304
37303	2142	37305
37286	2164	37306
37305	2189	37307
37307	2191	37308
82	2207	37309
37308	2214	37310
37310	2217	37311
37304	2218	37312
37311	2223	37313
37300	2251	37314
37313	2252	37315
37269	2274	37316
37315	2275	37317
37317	2277	37318
1596	2292	37319
37318	2314	37320
37320	2318	37321
37321	2349	37322
37322	2404	37323
37323	2424	37324
37324	2428	37325
37319	2448	37326
37306	2449	37327
37325	2457	37328
37328	2459	37329
119	2461	37330
37329	2477	37331
210	2508	37332
37331	2552	37333
37333	2557	37334
37334	2591	37335
37335	2592	37336
37336	2617	37337
37337	2632	37338
37338	2640	37339
37339	37044	37340
554	2642	37341
37340	2655	37342
37232	2703	37343
2118	2708	37344
37342	2709	37345
37345	2711	37346
37346	2733	37347
37347	2736	37348
37348	37035	37349
37343	2741	37350
37332	2754	37351
37349	2763	37352
37352	2810	37353
37353	2811	37354
37354	2816	37355
37355	2829	37356
37350	2853	37357
37356	2862	37358
37258	2870	37359
37358	2876	37360
37360	2883	37361
37361	2891	37362
37362	2904	37363
37363	2913	37364
37364	2915	37365
37365	2920	37366
37366	2927	37367
37327	2930	37368
37367	2934	37369
1892	2937	37370
37359	2938	37371
37326	37012	37372
37253	3005	37373
1513	3009	37374
1629	37009	37375
37369	3011	37376
37376	3014	37377
37377	3017	37378
3031	3035	37379
37351	3038	37380
37378	3057	37381
37381	3069	37382
1587	3075	37383
37382	3086	37384
37384	3087	37385
37385	3125	37386
37386	3143	37387
37380	3149	37388
809	3164	37389
37387	3197	37390
37368	3204	37391
2344	36992	37392
168	3216	37393
37383	3234	37394
37299	3252	37395
37390	3311	37396
37396	3335	37397
3202	3343	37398
37397	36985	37399
37399	3347	37400
37400	3370	37401
37357	3384	37402
37401	3388	37403
37403	3427	37404
37404	3437	37405
37405	3472	37406
37406	3473	37407
37370	3474	37408
37408	3491	37409
37372	36974	37410
37407	3495	37411
503	3507	37412
37411	3515	37413
37413	3529	37414
37414	3550	37415
37415	3600	37416
37416	3613	37417
37371	3631	37418
37417	3649	37419
37419	3650	37420
37420	3659	37421
37421	3666	37422
37422	3694	37423
37423	36960	37424
1142	3735	37425
37424	3736	37426
37426	3737	37427
2181	3742	37428
3233	3744	37429
37427	3766	37430
37374	3773	37431
37430	3789	37432
37432	3798	37433
37433	3808	37434
37402	3813	37435
37434	3824	37436
37436	36947	37437
37437	3832	37438
37418	3834	37439
549	3840	37440
37438	3849	37441
37441	3854	37442
37442	3921	37443
37443	3924	37444
3929	3940	37445
37444	3949	37446
37446	3962	37447
37447	3973	37448
479	3974	37449
37448	4012	37450
1196	4013	37451
2582	4035	37452
37450	4048	37453
37453	4068	37454
37454	4077	37455
4015	4093	37456
37250	4095	37457
37431	4097	37458
37455	4102	37459
37459	4126	37460
37460	4130	37461
37461	4203	37462
37462	4222	37463
721	4224	37464
37463	4233	37465
3485	4239	37466
37344	36917	37467
37465	4273	37468
37312	4288	37469
37409	4323	37470
37468	4324	37471
37471	4327	37472
37439	4341	37473
37472	4348	37474
2979	4349	37475
37474	4352	37476
1492	4360	37477
37476	4368	37478
37478	4395	37479
